Trips_per_day_casual_riders,day_of_week,member_casual,Distribution_%_per_day
263845,Monday,casual,0.116992761
255428,Tuesday,casual,0.113260539
259168,Wednesday,casual,0.114918911
283164,Thursday,casual,0.125559091
326462,Friday,casual,0.144758062
479560,Saturday,casual,0.212643971
387598,Sunday,casual,0.171866665
456314,Monday,member,0.139417191
514428,Tuesday,member,0.157172707
509373,Wednesday,member,0.155628258
501276,Thursday,member,0.153154389
465679,Friday,member,0.142278471
444170,Saturday,member,0.135706846
381771,Sunday,member,0.116642138
