ride_length,Conteo_ridelength,member_casual
00:00:00,230,casual
00:00:00,217,member
00:00:01,532,casual
00:00:01,783,member
00:00:02,1414,casual
00:00:02,3392,member
00:00:03,978,casual
00:00:03,2015,member
00:00:04,789,casual
00:00:04,1584,member
00:00:05,843,casual
00:00:05,1631,member
00:00:06,744,casual
00:00:06,1369,member
00:00:07,840,casual
00:00:07,1288,member
00:00:08,986,casual
00:00:08,1443,member
00:00:09,1166,casual
00:00:09,1597,member
00:00:10,1335,casual
00:00:10,1740,member
00:00:11,1150,casual
00:00:11,1449,member
00:00:12,1148,casual
00:00:12,1465,member
00:00:13,1297,casual
00:00:13,1552,member
00:00:14,1081,casual
00:00:14,1574,member
00:00:15,1067,casual
00:00:15,1382,member
00:00:16,1027,casual
00:00:16,1397,member
00:00:17,940,casual
00:00:17,1288,member
00:00:18,938,casual
00:00:18,1338,member
00:00:19,968,casual
00:00:19,1456,member
00:00:20,1058,casual
00:00:20,1358,member
00:00:21,840,casual
00:00:21,1262,member
00:00:22,758,casual
00:00:22,1297,member
00:00:23,783,casual
00:00:23,1247,member
00:00:24,767,casual
00:00:24,1245,member
00:00:25,696,casual
00:00:25,1219,member
00:00:26,682,casual
00:00:26,1183,member
00:00:27,700,casual
00:00:27,1087,member
00:00:28,750,casual
00:00:28,1114,member
00:00:29,688,casual
00:00:29,1068,member
00:00:30,644,casual
00:00:30,1137,member
00:00:31,597,casual
00:00:31,1039,member
00:00:32,590,casual
00:00:32,1044,member
00:00:33,633,casual
00:00:33,954,member
00:00:34,586,casual
00:00:34,981,member
00:00:35,586,casual
00:00:35,969,member
00:00:36,555,casual
00:00:36,949,member
00:00:37,541,casual
00:00:37,919,member
00:00:38,554,casual
00:00:38,934,member
00:00:39,597,casual
00:00:39,883,member
00:00:40,574,casual
00:00:40,851,member
00:00:41,520,casual
00:00:41,854,member
00:00:42,541,casual
00:00:42,816,member
00:00:43,461,casual
00:00:43,775,member
00:00:44,491,casual
00:00:44,803,member
00:00:45,512,casual
00:00:45,774,member
00:00:46,501,casual
00:00:46,720,member
00:00:47,489,casual
00:00:47,741,member
00:00:48,481,casual
00:00:48,744,member
00:00:49,507,casual
00:00:49,722,member
00:00:50,471,casual
00:00:50,730,member
00:00:51,477,casual
00:00:51,698,member
00:00:52,448,casual
00:00:52,698,member
00:00:53,455,casual
00:00:53,761,member
00:00:54,470,casual
00:00:54,665,member
00:00:55,439,casual
00:00:55,676,member
00:00:56,441,casual
00:00:56,671,member
00:00:57,406,casual
00:00:57,659,member
00:00:58,442,casual
00:00:58,688,member
00:00:59,448,casual
00:00:59,673,member
00:01:00,407,casual
00:01:00,697,member
00:01:01,442,casual
00:01:01,663,member
00:01:02,443,casual
00:01:02,694,member
00:01:03,418,casual
