start_lat,Conteo_geographic_pos,start_lng,member_casual
41.64850076,3,-87.54608989,casual
41.64850076,2,-87.54608989,member
41.65,2,-87.62,casual
41.65,3,-87.6,casual
41.6518678,1,-87.53967136,casual
41.6518678,1,-87.53967136,member
41.651868,2,-87.539671,casual
41.65187767,1,-87.53967433,casual
41.65190083,1,-87.53959467,casual
41.65191267,1,-87.53962,member
41.65191967,1,-87.53965817,casual
41.65371867,1,-87.61711433,casual
41.65666553,5,-87.59880066,casual
41.65795583,1,-87.610747,casual
41.65800285,1,-87.61075199,casual
41.65802583,1,-87.61077833,casual
41.65841315,4,-87.6107109,casual
41.65912667,1,-87.55072217,casual
41.65915,3,-87.550762,casual
41.65915043,10,-87.5507623,casual
41.66,1,-87.6,casual
41.66,1,-87.56,casual
41.66631201,5,-87.55721569,casual
41.668696,1,-87.637113,casual
41.66869635,7,-87.63711333,casual
41.66872417,1,-87.6372035,casual
41.67,4,-87.65,casual
41.67,2,-87.64,casual
41.67,3,-87.63,casual
41.67064384,2,-87.62258649,casual
41.67066583,1,-87.6226975,casual
41.67068017,1,-87.62271817,casual
41.670694,1,-87.6228075,casual
41.67070817,1,-87.62270983,casual
41.68,4,-87.74,member
41.68,1,-87.7,casual
41.68,1,-87.7,member
41.68,6,-87.68,casual
41.68,11,-87.66,casual
41.68,10,-87.65,casual
41.68,1,-87.65,member
41.68,2,-87.64,casual
41.68,1,-87.63,casual
41.68,1,-87.62,casual
41.68,7,-87.54,casual
41.68097603,1,-87.53803396,casual
41.68100146,8,-87.53793122,casual
41.68100146,2,-87.53793122,member
41.6810475,1,-87.537951,casual
41.6810535,1,-87.53794733,casual
41.68458067,1,-87.67081083,casual
41.68458983,1,-87.6707505,casual
41.684595,4,-87.670708,casual
41.68459507,3,-87.670708,casual
41.68459507,3,-87.670708,member
41.68462717,1,-87.6707955,casual
41.6849316,2,-87.64528871,member
41.68493581,1,-87.6452831,casual
41.68494267,1,-87.64536317,casual
41.6849438,1,-87.64526701,casual
41.68494761,1,-87.64535809,casual
41.68495483,1,-87.64531567,casual
41.6849555,1,-87.6452215,casual
41.68496333,1,-87.64529717,casual
41.68496983,1,-87.64530467,casual
41.68497646,1,-87.64521635,casual
41.68498283,1,-87.64533,casual
41.68499541,1,-87.64524174,casual
41.68501133,1,-87.64528817,casual
41.68586767,1,-87.57375867,casual
41.68587117,1,-87.57377783,casual
41.685877,9,-87.573824,casual
41.68587706,7,-87.57382393,casual
41.68587706,2,-87.57382393,member
41.68590917,1,-87.57373267,casual
41.68594383,1,-87.57381467,casual
41.68624933,1,-87.688444,casual
41.68701479,2,-87.62105227,casual
41.687015,2,-87.621052,casual
41.687016,1,-87.621211,casual
41.68756162,2,-87.65547574,casual
41.687562,1,-87.655476,casual
41.6880725,1,-87.536534,casual
41.69,1,-87.72,casual
41.69,2,-87.72,member
41.69,15,-87.71,casual
41.69,1,-87.7,casual
41.69,1,-87.69,casual
41.69,22,-87.68,casual
41.69,4,-87.68,member
41.69,10,-87.67,casual
41.69,2,-87.67,member
41.69,4,-87.66,casual
41.69,6,-87.65,casual
41.69,9,-87.64,casual
41.69,5,-87.64,member
41.69,5,-87.63,casual
41.69,1,-87.63,member
