end_lat,Conteo_geographic_pos,end_lng,member_casual
41.62,1,-87.53,casual
41.63,1,-87.56,casual
41.64,2,-87.7,member
41.64850076,4,-87.54608989,casual
41.65,2,-87.62,casual
41.65,2,-87.6,casual
41.6518678,5,-87.53967136,casual
41.6518678,2,-87.53967136,member
41.651868,1,-87.539671,casual
41.65666553,5,-87.59880066,casual
41.65841315,4,-87.6107109,casual
41.65915,3,-87.550762,casual
41.65915043,13,-87.5507623,casual
41.65915043,2,-87.5507623,member
41.66,1,-87.68,casual
41.66,1,-87.61,casual
41.66,4,-87.6,casual
41.66,1,-87.56,casual
41.66631201,3,-87.55721569,casual
41.668696,2,-87.637113,casual
41.66869635,8,-87.63711333,casual
41.66869635,1,-87.63711333,member
41.67,1,-87.66,casual
41.67,5,-87.65,casual
41.67,1,-87.64,casual
41.67,1,-87.64,member
41.67,6,-87.63,casual
41.67064384,6,-87.62258649,casual
41.68,4,-87.74,member
41.68,2,-87.7,casual
41.68,1,-87.7,member
41.68,5,-87.68,casual
41.68,13,-87.66,casual
41.68,9,-87.65,casual
41.68,1,-87.65,member
41.68,2,-87.64,casual
41.68,1,-87.64,member
41.68,6,-87.63,casual
41.68,1,-87.62,casual
41.68,9,-87.54,casual
41.681001,1,-87.537931,casual
41.68100146,8,-87.53793122,casual
41.68100146,6,-87.53793122,member
41.684595,4,-87.670708,casual
41.68459507,12,-87.670708,casual
41.68459507,1,-87.670708,member
41.6849316,10,-87.64528871,casual
41.6849316,2,-87.64528871,member
41.685877,9,-87.573824,casual
41.68587706,10,-87.57382393,casual
41.68587706,2,-87.57382393,member
41.68701479,2,-87.62105227,casual
41.68756162,2,-87.65547574,casual
41.687562,1,-87.655476,casual
41.69,1,-87.72,casual
41.69,16,-87.71,casual
41.69,2,-87.7,casual
41.69,1,-87.69,casual
41.69,1,-87.69,member
41.69,19,-87.68,casual
41.69,1,-87.68,member
41.69,9,-87.67,casual
41.69,1,-87.67,member
41.69,5,-87.66,casual
41.69,7,-87.65,casual
41.69,11,-87.64,casual
41.69,3,-87.64,member
41.69,6,-87.63,casual
41.69,3,-87.62,casual
41.69,2,-87.62,member
41.69,6,-87.61,casual
41.69,12,-87.61,member
41.69,6,-87.54,casual
41.69,1,-87.54,member
41.69,3,-87.53,casual
41.69,2,-87.52,casual
41.691211,2,-87.681297,casual
41.69121103,11,-87.68129736,casual
41.69121103,12,-87.68129736,member
41.691319,1,-87.712886,casual
41.69131919,12,-87.71288574,casual
41.69131919,1,-87.71288574,member
41.69170976,5,-87.61000156,casual
41.69170976,7,-87.61000156,member
41.69177385,23,-87.53043115,casual
41.69177385,16,-87.53043115,member
41.691774,6,-87.530431,casual
41.69226256,1,-87.64261186,casual
41.69226256,3,-87.64261186,member
41.69239475,9,-87.70096064,casual
41.69239475,4,-87.70096064,member
41.692395,2,-87.700961,casual
41.69501045,10,-87.59871483,casual
41.69501045,1,-87.59871483,member
41.699206,3,-87.668919,casual
41.69920617,7,-87.66891897,casual
41.69920617,3,-87.66891897,member
41.7,1,-87.73,casual
41.7,6,-87.71,casual
41.7,4,-87.7,casual
41.7,13,-87.69,casual
41.7,9,-87.68,casual
41.7,2,-87.68,member
41.7,11,-87.67,casual
41.7,3,-87.66,casual
41.7,9,-87.65,casual
41.7,7,-87.65,member
41.7,4,-87.64,casual
41.7,4,-87.63,casual
41.7,12,-87.62,casual
41.7,6,-87.62,member
41.7,8,-87.61,casual
41.7,1,-87.61,member
41.7,7,-87.6,casual
41.7,3,-87.6,member
41.7,2,-87.56,casual
41.7,8,-87.54,casual
41.7,2,-87.54,member
41.7,5,-87.53,casual
41.7,2,-87.53,member
41.7,1,-87.52,casual
41.7,1,-87.52,member
41.70012138,14,-87.61225998,casual
41.70012138,2,-87.61225998,member
41.70280085,6,-87.55972624,casual
41.702801,1,-87.559726,casual
41.704575,2,-87.528232,casual
41.70457509,18,-87.52823174,casual
41.70457509,7,-87.52823174,member
41.704587,1,-87.681203,casual
41.7045871,19,-87.68120348,casual
41.7045871,9,-87.68120348,member
41.70492556,3,-87.65686811,casual
41.70492556,2,-87.65686811,member
41.704926,1,-87.656868,casual
41.70513979,4,-87.64242411,casual
41.70513979,4,-87.64242411,member
41.705308,1,-87.629217,casual
41.705308,2,-87.62921691,casual
41.70717,2,-87.618472,casual
41.70717027,15,-87.61847198,casual
41.70725037,8,-87.60766268,casual
41.70958114,8,-87.59023368,member
41.71,1,-87.76,casual
41.71,2,-87.72,casual
41.71,1,-87.71,casual
41.71,5,-87.7,casual
41.71,6,-87.69,casual
41.71,2,-87.69,member
41.71,22,-87.68,casual
41.71,26,-87.67,casual
41.71,2,-87.67,member
41.71,13,-87.66,casual
41.71,6,-87.65,casual
41.71,1,-87.65,member
41.71,5,-87.64,casual
41.71,2,-87.64,member
41.71,5,-87.63,casual
41.71,1,-87.63,member
41.71,3,-87.62,casual
41.71,2,-87.61,casual
41.71,19,-87.6,casual
41.71,17,-87.6,member
41.71,1,-87.59,member
41.71,2,-87.58,casual
41.71,10,-87.57,casual
41.71,3,-87.56,casual
41.71,1,-87.56,member
41.71,1,-87.55,casual
41.71,5,-87.54,casual
41.712164,5,-87.667733,casual
41.7121641,21,-87.66773343,casual
41.7121641,7,-87.66773343,member
41.71274876,6,-87.53481388,casual
41.71274876,2,-87.53481388,member
41.712749,1,-87.534814,casual
41.713317,2,-87.551098,casual
41.7133174,7,-87.55109757,casual
41.7133174,2,-87.55109757,member
41.71339748,6,-87.56584167,casual
41.71370983,3,-87.53084421,casual
41.71370983,9,-87.53084421,member
41.71371,5,-87.530844,casual
41.717878,4,-87.564592,casual
41.7178783,4,-87.56459177,casual
41.71870315,5,-87.59703577,casual
41.71870315,4,-87.59703577,member
41.71896342,8,-87.60829568,casual
41.71896342,1,-87.60829568,member
41.719712,2,-87.64302,casual
41.71971218,8,-87.64301956,casual
41.71971218,2,-87.64301956,member
41.72,1,-87.72,casual
41.72,2,-87.69,member
41.72,23,-87.68,casual
41.72,5,-87.68,member
41.72,1,-87.67,casual
41.72,1,-87.67,member
41.72,4,-87.66,casual
41.72,7,-87.66,member
41.72,4,-87.65,casual
41.72,3,-87.65,member
41.72,6,-87.64,casual
41.72,2,-87.64,member
41.72,2,-87.63,member
41.72,19,-87.62,casual
41.72,5,-87.62,member
41.72,2,-87.61,casual
41.72,2,-87.61,member
41.72,2,-87.6,casual
41.72,3,-87.6,member
41.72,3,-87.59,casual
41.72,1,-87.58,casual
41.72,1,-87.58,member
41.72,2,-87.57,casual
41.72,4,-87.56,casual
41.72,4,-87.53,casual
41.72,6,-87.53,member
41.7218499,38,-87.6228544,casual
41.7218499,11,-87.6228544,member
41.72185,3,-87.622854,casual
41.72229074,11,-87.57896841,casual
41.72616639,2,-87.56627619,casual
41.72616639,2,-87.56627619,member
41.72679896,5,-87.6542902,casual
41.72679896,9,-87.6542902,member
41.726799,4,-87.65429,casual
41.72757566,6,-87.63482809,casual
41.727576,2,-87.634828,casual
41.728204,1,-87.5497,casual
41.72820422,12,-87.54970014,casual
41.72820422,1,-87.54970014,member
41.7282338,11,-87.6675239,casual
41.7282338,5,-87.6675239,member
41.72826427,7,-87.59729862,casual
41.72928516,6,-87.61103153,casual
41.73,7,-87.68,casual
41.73,5,-87.67,casual
41.73,2,-87.67,member
41.73,3,-87.66,casual
41.73,3,-87.66,member
41.73,5,-87.64,casual
41.73,4,-87.63,casual
41.73,3,-87.62,casual
41.73,6,-87.62,member
41.73,3,-87.61,casual
41.73,6,-87.6,casual
41.73,6,-87.59,casual
41.73,4,-87.58,casual
41.73,5,-87.56,casual
41.73,1,-87.56,member
41.73,9,-87.55,casual
41.73,11,-87.55,member
41.73,4,-87.54,casual
41.73139494,16,-87.58574367,casual
41.73139494,1,-87.58574367,member
41.73237975,4,-87.65806943,casual
41.73237975,4,-87.65806943,member
41.73366879,11,-87.55834222,casual
41.73366879,17,-87.55834222,member
41.73655902,4,-87.60125756,casual
41.73655902,3,-87.60125756,member
41.736646,15,-87.622634,casual
41.736646,14,-87.622634,member
41.736815,2,-87.582801,casual
41.73681521,5,-87.58280128,casual
41.73681521,2,-87.58280128,member
41.737151,1,-87.57274,casual
41.73715146,1,-87.57274032,casual
41.73715146,3,-87.57274032,member
41.7373356,11,-87.5485146,casual
41.7373356,13,-87.5485146,member
41.737336,1,-87.548515,casual
41.73784848,3,-87.64489979,casual
41.73784848,3,-87.64489979,member
41.74,4,-87.68,casual
41.74,2,-87.68,member
41.74,3,-87.67,casual
41.74,4,-87.66,casual
41.74,9,-87.66,member
41.74,10,-87.65,casual
41.74,1,-87.65,member
41.74,1,-87.64,casual
41.74,12,-87.63,casual
41.74,11,-87.63,member
41.74,3,-87.62,casual
41.74,6,-87.62,member
41.74,2,-87.61,casual
41.74,1,-87.61,member
41.74,8,-87.6,casual
41.74,2,-87.6,member
41.74,18,-87.59,casual
41.74,3,-87.59,member
41.74,21,-87.58,casual
41.74,5,-87.57,casual
41.74,10,-87.56,member
41.74,14,-87.55,casual
41.74,30,-87.55,member
41.74,2,-87.54,member
41.74,3,-87.53,casual
41.74148653,4,-87.65841007,casual
41.74148653,2,-87.65841007,member
41.743116,6,-87.6148,casual
41.743116,13,-87.6148,member
41.743316,3,-87.622849,casual
41.743316,2,-87.622849,member
41.743441,23,-87.604836,casual
41.743441,14,-87.604836,member
41.743717,4,-87.634088,casual
41.743717,2,-87.634088,member
41.743921,9,-87.575225,casual
41.743921,2,-87.575225,member
41.744123,15,-87.599034,casual
41.744123,3,-87.599034,member
41.744531,6,-87.56506,casual
41.744531,8,-87.56506,member
41.744615,8,-87.551208,casual
41.744615,7,-87.551208,member
41.746559,5,-87.586005,casual
41.746559,8,-87.586005,member
41.747363,1,-87.580046,casual
41.75,1,-87.73,casual
41.75,1,-87.71,member
41.75,4,-87.7,casual
41.75,8,-87.68,casual
41.75,23,-87.68,member
41.75,12,-87.67,casual
41.75,19,-87.66,casual
41.75,2,-87.65,casual
41.75,3,-87.65,member
41.75,12,-87.64,casual
41.75,2,-87.64,member
41.75,6,-87.63,casual
41.75,2,-87.62,casual
41.75,1,-87.62,member
41.75,12,-87.61,casual
41.75,21,-87.61,member
41.75,6,-87.6,casual
41.75,8,-87.6,member
41.75,1,-87.59,casual
41.75,2,-87.59,member
41.75,12,-87.58,casual
41.75,1,-87.58,member
41.75,14,-87.57,casual
41.75,5,-87.57,member
